69321427,1,4,3
22765446,3,4,2
80813220,4,4,2
36229435,5,4,0
69620593,6,4,2
38764672,7,4,2
67349806,8,4,0
19118744,0,4,2
23580637,1,4,1
85448866,2,4,3
11154001,4,4,3
76051536,5,4,3
34250106,6,4,2
2473945,7,4,0
78080209,8,4,2
92780203,0,4,0
39248547,2,4,2
47459466,3,4,3
57265689,4,4,3
16588093,5,4,2
48805579,6,4,2
57290512,7,4,2
54182497,8,4,2
2914833,0,4,0
58521458,1,4,3
9287580,2,4,0
49807882,3,4,3
8457765,5,4,3
21796008,6,4,0
65445768,7,4,0
4533579,8,4,2
86008298,0,4,3
62678992,1,4,0
66134314,3,4,1
25043861,4,4,2
8717450,5,4,2
40722466,6,4,1
54506496,8,4,0
49183967,1,4,1
93621621,2,4,1
89659467,4,4,0
87386509,5,4,0
21866312,6,4,3
3386176,7,4,2
72801687,8,4,3
12692462,0,4,3
54186908,1,4,1
38795290,2,4,0
98109022,3,4,2
93620828,4,4,0
20876354,5,4,2
34694483,6,4,3
95328179,7,4,3
44579258,8,4,1
87307156,0,4,3
38533916,1,4,0
59005496,2,4,2
26476866,3,4,1
21030612,4,4,3
26240885,5,4,0
9525462,6,4,1
98319876,7,4,3
94389783,0,4,2
56999800,1,4,1
76992677,2,4,2
16840108,3,4,1
6243593,4,4,2
14019124,5,4,2
51745714,6,4,0
84291101,8,4,1
52256257,0,4,0
67705981,1,4,1
64621947,2,4,3
8671154,3,4,2
58053797,4,4,0
42975013,5,4,1
