80795260,0,4,1
12257551,1,4,1
60464364,2,4,0
1936157,3,4,2
26238713,4,4,3
13713827,5,4,3
52791654,6,4,3
50676538,7,4,2
81725277,8,4,2
77646511,0,4,2
25570275,1,4,3
65916714,2,4,3
83279481,3,4,1
70410895,5,4,0
72445030,6,4,1
71640472,8,4,1
38526872,0,4,1
9278539,1,4,0
35485487,2,4,2
92235031,3,4,0
340011,4,4,2
75810999,5,4,0
91426694,6,4,3
12439862,7,4,3
51793212,8,4,2
73801005,0,4,3
92348372,1,4,2
58993404,2,4,1
99459502,3,4,3
2684610,5,4,0
93250120,7,4,0
39700128,8,4,0
76078497,0,4,0
15874247,1,4,0
25510207,2,4,2
6990829,3,4,0
90598636,4,4,1
48451061,5,4,1
63423386,6,4,0
42327403,8,4,0
84128527,0,4,0
51109445,2,4,3
1125169,3,4,0
76433465,4,4,2
81696927,5,4,3
18688293,7,4,1
92886988,8,4,1
75700119,0,4,3
82614870,1,4,2
31902050,2,4,3
53213357,3,4,3
51210484,5,4,0
86665320,6,4,2
90354771,8,4,0
25093297,0,4,3
97434521,2,4,2
41067117,3,4,2
71801696,4,4,1
86998574,5,4,2
1329092,6,4,2
88009462,7,4,2
89309162,8,4,3
21871515,0,4,3
60648462,1,4,2
20928471,2,4,0
3062637,3,4,3
5474680,4,4,0
60419437,5,4,1
21054347,6,4,0
51710555,7,4,1
18080938,8,4,2
5043748,0,4,1
